HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS07	630259	0.5	HS02	630259
HS07	630299	0.5	HS02	630292
HS07	630299	0.5	HS02	630299
HS07	630319	0.5	HS02	630311
HS07	630319	0.5	HS02	630319
HS07	630619	0.5	HS02	630611
HS07	630619	0.5	HS02	630619
HS07	630629	0.5	HS02	630621
HS07	630629	0.5	HS02	630629
HS07	630630	0.5	HS02	630631
HS07	630630	0.5	HS02	630639
HS07	630640	0.5	HS02	630641
HS07	630640	0.5	HS02	630649
HS07	640199	0.5	HS02	640191
HS07	640199	0.5	HS02	640199
HS07	640291	0.5	HS02	640230
HS07	640299	0.5	HS02	640230
HS07	640291	0.5	HS02	640291
HS07	640299	0.5	HS02	640299
HS07	640391	0.5	HS02	640330
HS07	640399	0.5	HS02	640330
HS07	640391	0.5	HS02	640391
HS07	640399	0.5	HS02	640399
HS07	650590	0.5	HS02	650300
HS07	650590	0.5	HS02	650590
HS07	650699	0.5	HS02	650692
HS07	650699	0.5	HS02	650699
HS07	660390	0.5	HS02	660310
HS07	660390	0.5	HS02	660390
HS07	680229	0.5	HS02	680222
HS07	680229	0.5	HS02	680229
HS07	681140	0.25	HS02	681110
HS07	681181	1	HS02	681110
HS07	681140	0.25	HS02	681120
HS07	681182	1	HS02	681120
HS07	681140	0.25	HS02	681130
HS07	681183	1	HS02	681130
HS07	681140	0.25	HS02	681190
HS07	681189	1	HS02	681190
HS07	681280	0.25	HS02	681250
HS07	681291	1	HS02	681250
HS07	681280	0.25	HS02	681260
HS07	681292	1	HS02	681260
HS07	681280	0.25	HS02	681270
HS07	681293	1	HS02	681270
HS07	681280	0.25	HS02	681290
HS07	681299	1	HS02	681290
HS07	681320	0.5	HS02	681310
HS07	681381	1	HS02	681310
HS07	681320	0.5	HS02	681390
HS07	681389	1	HS02	681390
HS07	690919	1	HS02	690919
HS07	853670	0.25	HS02	690919
HS07	702000	0.5	HS02	701200
HS07	701322	1	HS02	701321
HS07	701333	1	HS02	701321
HS07	701328	1	HS02	701329
HS07	701337	1	HS02	701329
HS07	701341	1	HS02	701331
HS07	701342	1	HS02	701332
HS07	701349	1	HS02	701339
HS07	702000	0.5	HS02	702000
